[2026-04-19 00:52:36] O:22834.80 H:22834.80 L:22720.45 C:22766.60 -> no_pattern
[2026-04-19 00:52:44] O:22767.65 H:22820.60 L:22758.75 C:22818.10 -> no_pattern
[2026-04-19 00:52:45] O:22817.65 H:22872.55 L:22794.85 C:22869.90 -> no_pattern
[2026-04-19 00:52:45] O:22871.55 H:22900.65 L:22863.00 C:22897.75 -> no_pattern
[2026-04-19 00:52:46] O:22900.05 H:22900.05 L:22856.75 C:22858.35 -> marubozu
[2026-04-19 00:52:46] O:22860.20 H:22880.35 L:22837.65 C:22846.05 -> no_pattern
[2026-04-19 00:52:47] O:22847.35 H:22868.50 L:22825.30 C:22832.15 -> no_pattern
[2026-04-19 00:52:48] O:22832.40 H:22844.35 L:22793.00 C:22831.90 -> doji
[2026-04-19 00:52:48] O:22833.35 H:22863.00 L:22811.25 C:22835.35 -> doji
[2026-04-19 00:52:49] O:22837.10 H:22853.85 L:22818.50 C:22841.40 -> spinning_top
[2026-04-19 00:52:49] O:22843.95 H:22883.45 L:22842.45 C:22878.55 -> no_pattern
[2026-04-19 00:52:50] O:22880.30 H:22923.20 L:22873.20 C:22898.95 -> no_pattern
[2026-04-19 00:52:50] O:22900.55 H:22928.35 L:22885.90 C:22906.30 -> spinning_top
[2026-04-19 00:52:51] O:22907.00 H:22912.25 L:22887.00 C:22903.15 -> spinning_top
[2026-04-19 00:52:51] O:22905.10 H:22923.55 L:22899.75 C:22920.00 -> no_pattern
[2026-04-19 00:52:52] O:22921.80 H:22950.75 L:22917.45 C:22928.95 -> shooting_star
[2026-04-19 00:52:52] O:22929.85 H:22966.40 L:22915.85 C:22922.70 -> shooting_star
[2026-04-19 00:52:53] O:22924.10 H:22943.65 L:22916.25 C:22936.30 -> no_pattern
[2026-04-19 00:52:53] O:22937.40 H:22945.70 L:22933.60 C:22934.20 -> shooting_star
[2026-04-19 00:52:54] O:22934.70 H:22947.90 L:22910.45 C:22913.70 -> no_pattern
